RecipeName,Calories,Protein,Carbohydrates,Fat,Ingredients,Instructions,DietType
Murgh Malaiwala Recipe - Chicken In Rich Creamy Gravy,225.2051,12.6533,18.6203,10.2132,"salt,bay leaf (tej patta),ghee,milk,gram chicken,onion,lemon,badam (almond) paste,cardamom powder (elaichi),black pepper powder,cinnamon stick (dalchini),ginger paste,kasuri methi (dried fenugreek leaves),garlic paste","To begin making the Murgh Malaiwala recipe, firstly clean and wash the chicken pieces and dry it.
Soak kasuri methi leaves in 1/4th cup of water in a small bowl.Take a big bowl and add chicken, salt, pepper and mix it well.
Refrigerate it for about 2 hours or more.After 2 hours, add garlic, ginger, lemon juice, almond paste and 2 tablespoons cream into the chicken and keep it aside for 20 minutes.Heat a heavy bottomed pan with ghee.
Add cardamom powder and onions in the pan and let it cook till the onions become soft and translucent.Next, add the marinated chicken pieces and let it cook for 10 minutes.
After 10 minutes, add in the cream, milk with cinnamon stick and bay leaf.Boil stirring occasionally till the chicken pieces are fully cooked and semi thick gravy consistency is formed.
Strain the methi leaves and sprinkle on the gravy and stir it well.
Let it cook for about a minute or two.Switch off the gas, cover the pan and let it sit for 10 minutes before serving.
Serve Murgh Malaiwala along with Burani Raita, Garlic Naan and Jeera Rice for a weekend meal with your family.",Unknown
Spicy Lemon Chicken Kebab Recipe,173.4742,10.097,1.7322,12.2278,"salt,red bell pepper (capsicum),red chilli flakes,virgin olive oil,onion,lemon,thyme leaves,black pepper powder,chicken breasts","To begin making the Spicy Lemon Chicken Kebab Recipe, thoroughly wash and clean the chicken, and cut them into cubes.To marinate the chicken, in a mixing bowl, combine the chicken pieces along with the bell peppers and onions and lemon juice, dried thyme, red chilli flakes, pepper powder, olive oil, salt and mix well.
  Rest it for at least for about 1 hour.
 Once it is well coated and marinated, start skewering by first placing the red bell pepper, a chicken cube followed by a onion chunk, repeating the sequence one more time.
Ensure the skewer is not over crowded and packed.
Heat a grill pan, drizzle some oil and place the skewers and cook for at least 25 minutes.
Keep brushing the extra marinade over the chicken and keep turning the skewers so that it is evenly cooked.Serve the Spicy Lemon Chicken Kebab Recipe, along with tzatziki dip, sliced onions and green chutney to make it more interesting.",Unknown
Paneer Butter Masala Biryani Recipe - Layered Paneer Butter Masala Biryani Recipe,190.553,7.8921,14.5496,11.0417,"tomato,cloves garlic,kasoori methi,onion,cardamom,salt,green chilli,cottage cheese cube,cinnamon,cashews,garam masala powder,star anise,cardamom powder,rice,red chilli powder,water,mint,coriander (dhania) leaves,ginger,ghee,cumin powder,bay leaf,salt oil,black pepper","To make Paneer Butter Masala Biryani recipe, first wash the rice and soak it for 30 minutes.
To make rice for biryani, heat ghee in a pressure cooker.
Add cardamom, long, star anise, cinnamon, whole black pepper, bay leaves, and cook for 1 minute.
Now add rice, salt, 2 cups of water and close the cooker.
Cook till 2 cities come and turn off the gas.
Allow the pressure to drain automatically.
Open the cooker and spread out the rice in a plate so that it becomes slightly cold.
Now add fried onions, coriander leaves, mint and mix well.
Keep it aside.
To make Paneer Butter Masala for Biryani, heat oil in a pan.
Add cumin, cardamom, green chillies, ginger, garlic, onion and cook till the onion turns brown.
Now add tomatoes, salt and turn off the gas.
Allow to cool.
Now put this mixture in a mixer grinder and grind it into a paste.
Heat some oil in a pan.
Add the ground spices to it and cook for 1 minute.
After this, add cumin powder, garam masala powder, red chili powder, honey, kasoori methi and let it cook on low flame.
After the gravy boils, add cottage cheese, cream and mix it.
Turn off the gas after 1 minute.
To make biryani, grease a large bowl with butter.
Add fried onions, mint leaves, coriander.
Make a rice layer over it.
Press it well.
Now add Paneer Butter Masala to it.
Re-insert these layers and place the rice on the topmost layer.
Now place a plate over it and reverse it.
Serve.
Serve Paneer Butter Masala Biryani Recipe along with Bundi Raita and Papad for dinner.",Unknown
North Indian Style Mushroom Matar Masala Recipe,127.6343,6.6762,13.4863,5.0458,"tomato paste,green chilli,coriander powder,mustard seeds,asafoetida (hing),green peas (matar),red chilli powder,water,onion paste,ginger garlic paste,coriander (dhania) leaves,onion,cumin seeds (jeera),button mushrooms,turmeric powder,garam masala powder,sunflower oil","To begin making the North Indian Style Mushroom Matar, heat oil in a heavy bottomed pan.
Add cumin seeds, mustard seeds and asafoetida.
Let it splutter.Add the chopped onions and cook it for about a minute or two.
Next, add the ginger garlic paste and let it cook for 3 minutes.
After 3 minutes, add the onion paste and green chillies and let it cook for about 2 minutes.
After 2 minutes, add the tomato puree and all the masalas including red chilli powder, turmeric powder, coriander powder and garam masala powder.
Let it cook for about 5 to 7 minutes.Meanwhile heat a little oil in a pan and stir fry the mushroom for about 2 to 3 minutes and boil the green peas till they become soft.After this add the stir fried mushrooms and boiled green peas to the gravy and add a little water.
Let it cook for another 10 minutes.Once it is done, add the chopped coriander leaves and serve hot.Serve North Indian Style Mushroom Matar Masala along with Dal Makhani and Pudina Lahsun Lachha Paratha for a weekday lunch or dinner.",Unknown
Dhania Chole Masala Recipe - Chickpeas In Fresh Coriander Gravy,304.7892,12.4472,39.0646,11.4646,"salt,black salt,ginger,coriander (dhania) leaves,ghee,bay leaf (tej patta),cloves garlic,kabuli chana (white chickpeas),onion,lemon,cinnamon stick (dalchini),brown cardamom (badi elaichi),coriander powder,green chillies,garam masala powder","To begin making Dhania Chole Masala, wash and soak the chana or chickpeas overnight.
Drain the water in which the chickpeas/chole is soaked in.
Pressure cook the drained chana along with 3 cups of water and salt for 6 whistles.
After 6 whistles reduce the heat to low and continue to cook for 20 minutes.
 Turn off the flame and allow the pressure to release naturally.
 The chana has be cooked well once you open the pressure cooker.
Once done, when you press between your fingers to should mash easily.The next step is to make the Dhania Masala.Into a mixer grinder, add the coriander, ginger and green chillies, along with a little salt and lemon juice.
Add 1/4 cup water and blend to make a smooth mixture like a chutney.
Keep the Dhania Masala aside.Heat ghee in a pan over medium heat; add the onion, ginger and garlic and saute until the onion softens.
Add the bay leaves, cinnamon stick, badi elaichi and saute for a few more seconds until you can smell the aromas.After a few seconds, add the garam masala, coriander powder, kala namak and the dhania masala.
Give it a stir.Add the cooked chana, give it a stir.
Add water if required to adjust the consistency of the chana masala.
Cover the pan and simmer the Dhania Chole Masala for a good 10 minutes.After 10 minutes, you will notice that the chole is well coated with the dhania masala.
At this stage, check the taste and adjust the salt and chilli accordingly.Once done, turn off the heat and transfer the Dhania Chole Masala to a serving bowl and serve hot.Serve the Dhania Chole Masala, along with Puri, Paneer in White Gravy, Lacha Pyaz and Chaas for a delicious weekend lunch.",Unknown
Cheese Stuffed Aloo Bonda Recipe,226.2789,6.3271,22.9101,11.9232,"coriander (dhania),salt,ginger,mustard seeds,asafoetida (hing),mozzarella cheese,gram flour (besan),onion,potato (aloo),turmeric powder,green chillies,sunflower oil","To begin making the Cheese Stuffed Aloo Bonda Recipe, heat oil in a frying pan, add mustard seeds and allow it to crackle.Once the seeds have crackled add the onions and sauté for a couple of minutes till onions are soft and light golden in colour.Once done add ginger, green chillies, asafoetida, turmeric and salt.
Saute for a minute and add the mashed potatoes.
Stir in the coriander leaves and combine.Turn off the heat and allow the potato mixture to cool down.Once the potato mixture has cooled down divide it into 8 portions.
While shaping, flatten the potatoes in the palm of your hand , place a piece of the Mozzarella cheese in the center and cover it to make a ball.
Shape the bonda into round balls and keep aside.Combine gram flour, turmeric powder, salt to taste in a bowl.
Add a little water at a time to make a thick batter which coats the back of a spoon.
Make sure to whisk the batter well until light and fluffy.
Keep aside.Preheat a kuzhi paniyaram pan.
Add a few drops of oil into each cavity.Dip and coat each of the potato cheese balls in the gram flour batter and gradually place it into the cavity.
Cover the pan and allow the bonda to steam.
Once you notice the batter is cooked, uncover the pan and cook all sides by flipping and turning.Once the Cheese Stuffed Aloo Bonda turns golden brown in color on all sides, transfer the Cheese Stuffed Aloo Bonda onto a plate with an oil absorbent paper and serve hot.Serve the Cheese Stuffed Aloo Bonda along with a spicy Coconut Chutney or Green Chutney  along with a cup of steaming Filter Coffee .",Unknown
Dahi Wale Paneer Recipe - Paneer In A Curd Gravy,117.9253,6.3836,3.937,8.2379,"tomato,red bell pepper (capsicum),red chillies,cumin powder (jeera),cashews almonds (paste),paneer,coriander (dhania) leaves,cloves garlic,onion,lemon,ginger chooped,gram curd,coriander powder,turmeric powder,butter,garam masala powder","To begin making the Dahi Wale Paneer Recipe, add ginger, garlic and fresh red chillies in a mortar and pestle and grind it to paste.In a bowl, add capsicum, cumin powder, coriander powder, garam masala powder and mix everything well.Divide this mixture into half and keep in an another bowl.
In one of them, add curd, salt, paneer and mix everything well.
Keep it aside to marinate for about 1 hour.To make the gravy for the Paneer Curry, heat butter in a heavy bottomed pan on low heat.
Add onions and saute till it turns soft.Once the onions turn soft, add the ginger garlic chilli paste and cook it for about 2 minutes.
After 2 minutes, add the capsicum mixture and let it cook till the capsicum turns a little soft.Once done, add the tomato puree, turmeric powder, cashew or almond paste, salt, required water and give it a mix.
Let it cook for about 3 to 4 minutes.After 3 to 4 minutes, turn the flame to low and add the whisked curd.
Cook it for another 5 minutes.Meanwhile, shallow fry or grill the paneer pieces on a non stick pan, using oil as required.
Cook from both the sides till it turns golden brown.Add the fresh cream and mix it again.
Add the paneer cubes and mix everything properly.Cook for about 2 minutes, add the lemon juice and garnish it with coriander leaves.Serve Dahi Wale Paneer Recipe along with Palak Dal, Tomato Onion Cucumber Raita, Jeera Rice, Phulka and Kachumber Salad for a weekend meal.",Unknown
Nutty Aloo Paratha Recipe,200.1218,6.3189,28.5512,6.4244,"salt,wheat flour,cumin powder (jeera),coriander (dhania) leaves,paneer,ghee,raisins,water make pliable dough,red chilli powder green chillies,potato (aloo),spinach leaves (palak),garam masala powder,mixed nuts","To begin making Nutty Aloo Paratha Recipe,first knead the dough and keep it aside.In a Mixing bowl, bring together wheat flour, water, and spinach puree (if using) to a soft pliable dough by kneading well.
Few drops of ghee or oil can be added if required.To make the fillingIn a large mixing bowl add the  mashed potatoes or aloo, and all the other ingredients, crumbled paneer, coriander, garam masala, salt, jeera powder, red chilli powder/green chillies, chopped nuts, and raisins and mix them till they are well combined.Divide the nutty aloo filling into 8 to 10 equal portions.
This process of dividing and keeping the portions of aloo paratha dough and filling ready, helps you gauge the number of parathas you can make and if you need more or less of the filling.The final step is to stuff the filling into the dough to make Nutty Aloo Paratha.Roll the dough into a small circle, place the filling inside and close the dough from all sides.Dust the filled aloo paratha dough in some flour and roll this stuffed nutty dough into a paratha, taking care not to let the stuffing ooze out.preheat a roti tawa and  place the filled  nutty aloo paratha.
Allow it to cook on medium heat for about 30 to 45 seconds and flip over.Add this stage add a teaspoon of ghee or oil and spread it around.
Flip again, so the oiled side can cook on the skillet.
Spread a little more ghee and keep pressing the parathas while on the skillet to cook the paratha evenly from inside out.Do the flipping over process a couple of times until both sides get cooked, browned and crisp evenly.
Make sure you cook on medium heat as it allows the nutty aloo parathas to get a crisp on the outside and yet soft texture.Once the aloo paratha is cooked transfer to a plate.
Continue to the same process with the remaining parathas the same way.Serve Nutty Aloo Paratha Recipe with Rawal Pindi Style Chole and some Kachumber Salad Recipe With Cucumber, Onion & Tomatoes for weekend brunch.
Add Quick Strawberry Yogurt Smoothie to complete the meal.",Unknown
Mushroom Paratha Recipe,315.2374,5.729,31.0733,18.4462,"salt,wheat flour,onion,cumin seeds (jeera),ghee parathas,ghee,oil,button mushrooms,turmeric powder,green chillies,garam masala powder,sunflower oil","To begin making the Mushroom Paratha Recipe, take all the ingredients meant for dough into a large mixing bowl.
Add a little water at a time to make a soft and smooth dough.
Cover the dough 30 minutes until we get the filling ready.
Next we will proceed to make the mushroom stuffing for the paratha recipe.Heat oil in a wok or a kadai on medium heat.
Add the cumin seeds and allow it to crackle.
 Once the cumin seeds crackle, add onion and saute until the onions turns pinkish in colour.Add the chopped green chilies, chopped chopped mushrooms and salt to taste.
Stir fry on high heat until most of the moisture from the mushrooms is evaporated.
Once the mushrooms have shrunk in size and the moisture has evaporated, add the garam masala and turmeric powder and give it a stir for a few minutes and turn off the heat.Allow the mushroom paratha stuffing mixture to cool completely.Divide the dough into 5 equal portions.
We will now proceed to make the stuffed mushroom paratha.
To begin making the paratha, keep a plate of dry flour for dusting.We dust the dough in flour, flatten it with your finger and place it on a flat surface.
Roll them out thin to approximately 3 inches in diameter circle.Take a portion of the mushroom filling and place it in the center.
Next Gather the sides of the dough and bring them together.
Remove the little excess dough which popped out when you brought them together.
Press the filled dough down.Dust the filled dough in some flour and roll it gently applying just a pressure.
Roll it to desired thickness and proceed the similar way with the remaining portions of dough and filling.Preheat a Skillet/Tava on medium heat and place the filled Mushroom Paratha.
Allow it to cook on medium heat for about 30 to 45 seconds and flip over.Add this stage add a teaspoon of ghee or oil and spread it around.
Flip again, so the oiled side can cook on the skillet.
Spread a little more ghee and keep pressing the parathas while on the skillet to cook the paratha evenly from inside out.Do the flipping over process a couple of times until both sides get cooked, browned and crisp evenly.
Make sure you cook on medium heat as it allows the parathas to get a crisp on the outside and yet soft texture.Once the paratha is cooked transfer to a plate.
Continue to the same process with the remaining Mushroom Parathas the same way.Serve the Mushroom Parathas along with a spicy mango pickle for breakfast or a sunday brunch.",Unknown
Palak Chana Dal Recipe - Healthy Spinach Gram Dal Recipe,110.582,6.0675,11.6655,4.1383,"tomato,salt,green chillies,cumin powder (jeera),chana dal (bengal gram dal),ghee,asafoetida (hing),red chilli powder,water,ginger garlic paste,dry red chillies,onion,cumin seeds (jeera),turmeric powder,spinach leaves (palak)","To begin making the Palak Chana Dal recipe, pressure cook the soaked chana dal with 3 cups of water, salt and turmeric powder for 5 to 6 whistles and turn off the heat.
Allow the pressure to release naturally.Add the palak (spinach leaves) along with 2 tablespoons of water, salt into a pressure cooker and cook for 1 whistle.
Turn off the heat and release the pressure immediately to retain the green color of the spinach.Heat ghee in a heavy bottomed pan and add cumin seeds.
Once cumin seeds start to crackle, add asafoetida.After 30 seconds, add dry red chillies and saute for few seconds.Next add ginger garlic paste and saute for a few seconds.Now, add chopped onions and green chillies, saute it until onion turns to golden brown in colour.Add chopped tomato and cook them until they become soft.Add turmeric powder, red chilli powder, cumin powder and salt to taste but remember we have already added salt while boiling dal and spinach.Mix all dry spices with tomato onion mixture and cook it on medium heat for 1-2 minutes until mixture starts releasing ghee.This will take about 3 to 4 minutes.After 3 to 4 minutes, add the cooked chana dal and palak (spinach leaves), mix everything well.Cook the Palak Chana Dal for next 4 to 5 minutes on low heat and turn off the heat.
Check the salt and spices and adjust according to taste.
Transfer the Palak Chana Dal to a serving bowl and serve hot.Serve Palak Chana Dal along with Bharli Bhendi, Boondi Raita and Phulka for an everyday meal.
You can also pack this dal for your Lunch Box.",Unknown
Paneer Matar Butter Masala (Indian Cottage Cheese and Peas Masala With Butter) Recipe,219.8531,11.0672,12.5768,14.096,"tomato,salt,cashew nuts,ginger,ghee,paneer,cardamom (elaichi) podsseeds,milk,green peas (matar),red chilli powder,onion red,cloves garlic,black peppercorns,sugar,dry red chillies,cinnamon stick (dalchini),coriander (dhania) seeds,kasuri methi (dried fenugreek leaves),sunflower oil","To begin making the Paneer Matar Butter Masala recipe, first shallow fry the paneer cubes in 1 to 2 tablespoons of oil in a wide pan until it is slightly golden/ creamy golden and keep it aside.The next step is to prepare the masala/gravy.
Heat butter/clarified butter in a large heavy bottomed pan, add onions and peas/matar.Sauté until onions & peas/matar till the onions turn transparent.
Add ginger and garlic and stir for 1 to 2 minutes.Add whole dry red chilies, cloves, cardamom, cinnamon, whole black peppercorns and coriander seeds (that is all the whole spices) and stir a few times.Add tomatoes and cook until tomatoes turn soft and mushy.
Remove from heat and keep aside to cool a little.Puree this entire mixture along with 1/4 cup of cashews until smooth, adding a little water if required.Transfer this gravy back to the wide pan and place on heat.
Add shallow fried paneer pieces to the gravy, add salt to taste, sugar, kasuri methi, chili powder (if using), water if required to achieve desired consistency and simmer on low heat for the flavors to mingle.Finally add milk, mix well, allow the curry to simmer for another minute or so on low heat, then remove.Serve Paneer Matar Butter Masala with Phulkas or even steamed rice for a delicious weekday meal.",Unknown
And fish soup recipe - Bengali fish curry,103.7063,9.0097,3.6968,5.7887,"tomato,salt,coriander (dhania) leaves,aar maach (fish) (rohu katla),bay leaf (tej patta),mustard oil,red chilli powder,water,ginger garlic paste,cumin seeds (jeera),coriander powder,turmeric powder,green chillies","To begin making the Aar Macher Jhol Recipe, wash and clean fish pieces twice with water.
Ensure they are properly cleaned.Add salt and turmeric powder to the cleaned fish pieces.
Marinate it and set aside.Leave the fish marination for about 2 hours.In a heavy bottomed pan, add the required oil and heat over medium heat.
Fry the fish pieces and fry until they turn lightly brown.
The fish pieces should be half cooked.In the medium sized wok/kadhai, add the remaining oil and heat over medium heat.Once the oil is hot, add cumin seeds and bay leaf.
Let it crackle.Add chopped tomatoes and cook until they become mushy.
To the mushy tomatoes, add red chilli powder, coriander powder and ginger garlic paste.Cook until the raw smell goes off and the spice powders are absorbed by the tomatoes.
Add water as per your required consistency and bring it to boil.Once the water starts boiling, add the fried fish pieces and cook them over low flame.Slit the green chillies and add them to the curry.
Once the fishes are cooked completely and the curry reaches required consistency, season it with salt and switch off the flameEnsure the curry is cooked over medium flame once the fish pieces are added.
If fish is overcooked, it might dissolve in the curry.Garnish with coriander leaves and serve warmly.
Prepare Aar Macher Jhol and serve it along with Steamed Rice and Begun Bhaja for your everyday meals.",Unknown
